start_station_name,total_trips,start_lat,start_lng,postalCode,geometry,zip_code,HVI_Score
Henry St & Middagh St,1952,40.7003,-73.991581,11201,POINT (-73.991581 40.7003),11201,2.0
Henry St & Remsen St,2097,40.69400964865994,-73.99465128779411,11201,POINT (-73.99465128779411 40.69400964865994),11201,2.0
Henry St & W 9 St,339,40.6763744,-74.00324957,11231,POINT (-74.00324957 40.6763744),11231,2.0
Herkimer St & Eastern Pkwy,185,40.67738,-73.90829,11233,POINT (-73.90829 40.67738),11233,5.0
Herkimer St & New York Ave,1004,40.67955,-73.94709,11216,POINT (-73.94709 40.67955),11216,4.0
Hicks St & Montague St,3086,40.69512845,-73.99595065,11201,POINT (-73.99595065 40.69512845),11201,2.0
Hoe Ave & Jennings St,57,40.832171,-73.889686,10460,POINT (-73.889686 40.832171),10460,5.0
Home St & Westchester Ave,698,40.827629,-73.886659,10459,POINT (-73.886659 40.827629),10459,5.0
Hope St & Union Ave,6674,40.71167351,-73.95141312,11211,POINT (-73.95141312 40.71167351),11211,3.0
Howard St & Lafayette St,5214,40.71910537,-73.99973337,10013,POINT (-73.99973337 40.71910537),10013,2.0
Hoyt St & Warren St,609,40.6843549,-73.98901629,11217,POINT (-73.98901629 40.6843549),11217,2.0
Hudson Blvd W & W 36 St,2974,40.75676475086503,-73.99971440439913,10018,POINT (-73.99971440439913 40.75676475086503),10018,2.0
Hudson St & Reade St,3784,40.71625008,-74.0091059,10013,POINT (-74.0091059 40.71625008),10013,2.0
Hudson St & W 13 St,7160,40.74005708567285,-74.0052741765976,10014,POINT (-74.0052741765976 40.74005708567285),10014,1.0
Hughes Ave & Oak Tree Pl,124,40.85079,-73.88945,10457,POINT (-73.88945 40.85079),10457,5.0
Humboldt St & Varet St,1505,40.7031724,-73.940636,11206,POINT (-73.940636 40.7031724),11206,4.0
Hunts Point Ave & Bryant Ave,251,40.813991,-73.8855,10474,POINT (-73.8855 40.813991),10474,5.0
Huron St & Franklin St,5515,40.73266,-73.95826,11222,POINT (-73.95826 40.73266),11222,3.0
Icahn Stadium Plaza,987,40.79322,-73.92396,10035,POINT (-73.92396 40.79322),10035,5.0
India St & Manhattan Ave,5572,40.73232194,-73.9550858,11222,POINT (-73.9550858 40.73232194),11222,3.0
India St Pier,3835,40.731734785883454,-73.9612390102593,11222,POINT (-73.9612390102593 40.731734785883454),11222,3.0
Intervale Ave & Kelly St,215,40.827301,-73.896372,10459,POINT (-73.896372 40.827301),10459,5.0
Intervale Ave & Westchester Ave,391,40.821967,-73.896752,10459,POINT (-73.896752 40.821967),10459,5.0
Inwood Ave & W 170 St,224,40.840536,-73.919228,10452,POINT (-73.919228 40.840536),10452,5.0
Irving Ave & DeKalb Ave,1679,40.7027,-73.92095,11237,POINT (-73.92095 40.7027),11237,4.0
Irving Ave & Halsey St,1163,40.69467,-73.90663,11237,POINT (-73.90663 40.69467),11237,4.0
Irving Ave & Harman St,1449,40.70108,-73.9179,11237,POINT (-73.9179 40.70108),11237,4.0
Irving Ave & Jefferson St,2145,40.70538,-73.92535,11237,POINT (-73.92535 40.70538),11237,4.0
Irving Ave & Palmetto St,849,40.698,-73.9127,11237,POINT (-73.9127 40.698),11237,4.0
Irwin Ave & W 232 St,205,40.88227,-73.90809,10463,POINT (-73.90809 40.88227),10463,1.0
